TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,PTS,OFF_RATING,DEF_RATING,NET_RATING,SEASON
1610612737,Atlanta Hawks,82,36,46,0.439,3971.0,9703,116.4,118.4,-2.0,2023-24
1610612738,Boston Celtics,82,64,18,0.78,3966.0,9887,122.2,110.6,11.7,2023-24
1610612751,Brooklyn Nets,82,32,50,0.39,3961.0,9050,112.4,115.4,-2.9,2023-24
1610612766,Charlotte Hornets,82,21,61,0.256,3946.0,8740,108.6,119.2,-10.6,2023-24
1610612741,Chicago Bulls,82,39,43,0.476,3996.0,9206,114.0,115.7,-1.7,2023-24
1610612739,Cleveland Cavaliers,82,48,34,0.585,3961.0,9236,114.7,112.1,2.5,2023-24
1610612742,Dallas Mavericks,82,50,32,0.61,3941.0,9664,117.0,114.9,2.1,2023-24
1610612743,Denver Nuggets,82,57,25,0.695,3941.0,9418,117.8,112.3,5.5,2023-24
1610612765,Detroit Pistons,82,14,68,0.171,3951.0,9010,109.0,118.0,-9.0,2023-24
1610612744,Golden State Warriors,82,46,36,0.561,3966.0,9657,116.9,114.5,2.4,2023-24
1610612745,Houston Rockets,82,41,41,0.5,3971.0,9375,113.7,112.8,0.9,2023-24
1610612754,Indiana Pacers,82,47,35,0.573,3941.0,10110,120.5,117.6,2.9,2023-24
1610612746,LA Clippers,82,51,31,0.622,3941.0,9481,117.9,114.6,3.4,2023-24
1610612747,Los Angeles Lakers,82,47,35,0.573,3971.0,9679,115.4,114.8,0.6,2023-24
1610612763,Memphis Grizzlies,82,27,55,0.329,3956.0,8677,106.8,113.7,-6.9,2023-24
1610612748,Miami Heat,82,46,36,0.561,3951.0,9032,113.3,111.5,1.8,2023-24
1610612749,Milwaukee Bucks,82,49,33,0.598,3961.0,9756,117.6,115.0,2.6,2023-24
1610612750,Minnesota Timberwolves,82,56,26,0.683,3961.0,9264,114.6,108.4,6.3,2023-24
1610612740,New Orleans Pelicans,82,49,33,0.598,3941.0,9436,116.5,111.9,4.6,2023-24
1610612752,New York Knicks,82,50,32,0.61,3946.0,9249,117.3,112.4,4.9,2023-24
1610612760,Oklahoma City Thunder,82,57,25,0.695,3961.0,9847,118.3,111.0,7.3,2023-24
1610612753,Orlando Magic,82,47,35,0.573,3956.0,9058,112.9,110.8,2.2,2023-24
1610612755,Philadelphia 76ers,82,47,35,0.573,3956.0,9397,116.2,113.0,3.1,2023-24
1610612756,Phoenix Suns,82,49,33,0.598,3956.0,9532,116.8,113.7,3.1,2023-24
1610612757,Portland Trail Blazers,82,21,61,0.256,3976.0,8722,107.6,116.6,-9.0,2023-24
1610612758,Sacramento Kings,82,46,36,0.561,3971.0,9558,116.2,114.4,1.8,2023-24
1610612759,San Antonio Spurs,82,22,60,0.268,3966.0,9192,109.3,115.6,-6.4,2023-24
1610612761,Toronto Raptors,82,25,57,0.305,3961.0,9213,111.8,118.1,-6.3,2023-24
1610612762,Utah Jazz,82,31,51,0.378,3961.0,9484,114.5,119.6,-5.1,2023-24
1610612764,Washington Wizards,82,15,67,0.183,3946.0,9327,110.2,118.9,-8.7,2023-24
1610612737,Atlanta Hawks,82,40,42,0.488,3956.0,9691,113.7,114.8,-1.1,2024-25
1610612738,Boston Celtics,82,61,21,0.744,3966.0,9534,119.5,110.1,9.4,2024-25
1610612751,Brooklyn Nets,82,26,56,0.317,3956.0,8619,108.1,115.4,-7.3,2024-25
1610612766,Charlotte Hornets,82,19,63,0.232,3951.0,8618,106.7,115.7,-9.1,2024-25
